ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
56.931412 24.544872 0.07 0.07 45 03474353+2432415 14.423 0.030 0.032 49.9 14.227 0.056 0.056 23.9 14.094 0.063 0.064 18.1 AAA 222 111 000 664446 62.7 73 440352487 0 0 440352495 n 1998-11-21 56 166.390 -23.093 0.4963362767510000 0.7622915132980000 0.4154057644460000 -77.2 2451138.7115 1.36 1.04 1.51 14.431 0.041 14.150 0.129 14.012 0.149 2492.6 171.5 se 0 1 U 0.1 174 15.50 15.40 1 "" 25686 590776 244 17404890542954.0
56.949553 24.556692 0.26 0.23 135 03474789+2433240 16.548 0.169 0.169 7.0 14.965 "" "" "" 15.271 "" "" "" CUU 200 200 c00 160000 3.8 244 440352479 0 0 440352477 n 1998-11-21 56 166.395 -23.073 0.4960481470630000 0.7623767782260000 0.4155934116630000 -136.6 2451138.7115 1.31 "" "" 15.761 0.119 "" "" "" "" 2535.5 112.1 se 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890677452.0
56.948521 24.556227 0.18 0.16 22 03474764+2433224 16.263 0.124 0.124 9.2 14.993 "" "" "" 14.702 "" "" "" BUU 200 200 c00 450000 3.8 64 440352477 0 0 440352479 n 1998-11-21 56 166.394 -23.074 0.4960637182770000 0.7623706704290000 0.4155860299360000 -133.2 2451138.7115 1.38 "" "" 15.467 0.131 "" "" "" "" 2533.8 115.5 se 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890677641.0
56.949758 24.549858 0.10 0.09 3 03474794+2432594 15.884 0.085 0.086 13.0 15.229 0.107 0.107 9.5 14.834 0.113 0.113 9.2 ABB 222 111 000 261616 23.3 350 440352479 0 0 440352487 n 1998-11-21 56 166.400 -23.078 0.4960724501350000 0.7624200970300000 0.4154849213420000 -137.2 2451138.7115 0.88 1.28 0.84 15.897 0.098 15.124 0.171 14.921 0.289 2510.9 111.4 se 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890693503.0
56.870211 24.556973 0.07 0.07 90 03472885+2433251 6.749 0.011 0.020 58590.9 5.812 0.013 0.020 55476.6 5.534 0.017 0.022 48174.8 AAA 111 111 000 666666 39.6 77 440352455 0 0 440352466 n 1998-11-21 56 166.336 -23.122 0.4971022805940000 0.7616874234590000 0.4155978724350000 123.2 2451138.7115 "" "" 21.96 "" "" "" "" "" "" 2534.9 129.1 sw 0 1 U 0.1 149 13.00 10.40 1 "" 25686 590776 244 17404890752812.0
56.874822 24.517082 0.08 0.08 45 03472995+2431014 15.242 0.056 0.057 23.5 14.830 0.082 0.082 13.7 14.767 0.107 0.107 9.8 AAB 222 111 s00 661505 16.9 198 440352555 0 0 440352547 n 1998-11-21 56 166.369 -23.148 0.4971989819620000 0.7619695673530000 0.4149645174750000 108.2 2451138.7115 0.81 1.26 1.15 15.176 0.017 15.027 0.265 14.872 0.069 2391.3 144.1 sw 0 1 U 0.1 159 16.80 16.20 1 "" 25686 590776 244 17404890778997.0
56.882611 24.534651 0.08 0.08 45 03473182+2432047 15.549 0.067 0.068 17.7 14.989 0.083 0.083 11.8 14.613 0.097 0.097 11.2 AAA 222 111 000 251504 43.1 328 440352496 0 0 440352519 n 1998-11-21 56 166.362 -23.131 0.4970258488050000 0.7619305424450000 0.4152434877390000 82.6 2451138.7115 0.56 1.29 0.76 15.608 0.119 15.145 0.200 14.901 0.334 2454.8 169.7 sw 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890797351.0
56.882005 24.559408 0.07 0.07 90 03473168+2433338 12.333 0.019 0.022 342.2 11.959 0.019 0.021 192.9 11.843 0.019 0.021 144.3 AAA 222 111 000 665555 9.7 355 440352447 0 0 440352455 n 1998-11-21 56 166.343 -23.113 0.4969358306120000 0.7617749391300001 0.4156365267480000 84.6 2451138.7115 0.99 0.45 1.01 12.327 0.020 11.968 0.013 11.852 0.021 2543.9 167.7 sw 0 1 U 0.4 134 15.00 14.00 1 "" 25686 590776 244 17404890859499.0
56.881745 24.562090 0.18 0.16 22 03473161+2433435 16.425 0.142 0.142 7.9 15.229 0.119 0.120 9.5 15.114 0.152 0.153 7.1 BBB 222 111 ccc 161606 9.7 175 440352455 0 0 440352447 n 1998-11-21 56 166.341 -23.111 0.4969286568260000 0.7617563881350000 0.4156791011840000 85.5 2451138.7115 1.11 1.17 1.06 16.253 0.286 14.929 0.208 15.127 0.235 2553.5 166.8 sw 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890860925.0
56.892146 24.546026 0.12 0.12 45 03473411+2432456 16.058 0.096 0.097 11.1 15.450 0.127 0.127 7.7 15.343 "" "" "" ABU 220 110 cc0 060600 40.4 152 440352513 0 0 440352493 n 1998-11-21 56 166.360 -23.116 0.4968540043750000 0.7619441761550000 0.4154240854350000 51.4 2451138.7115 0.93 0.77 "" 16.131 0.199 15.378 0.248 "" "" 2495.9 200.9 sw 0 1 U 0.1 341 17.70 17.00 1 "" 25686 590776 244 17404890887776.0
